detector,descriptor,img_id,ttc_camera,ttc_lidar,offset_t,offset_p,camera_time,lidar_time
ORB,ORB,0017,11.3794,9.55324,1.82618,0.174482,0.262144,39.977
ORB,ORB,0018,14.5067,9.30116,5.20554,0.437296,0.131072,41.943
ORB,FREAK,0001,10.4168,12.9722,2.55535,0.218509,0,42.0741
ORB,FREAK,0002,10.5662,12.6181,2.05192,0.177009,0.131072,40.5012
ORB,FREAK,0003,10.9118,13.0901,2.17833,0.181514,0.131072,36.5691
ORB,FREAK,0004,17.3751,10.5159,6.85914,0.491854,0.131072,37.4866
ORB,FREAK,0005,197.632,11.6834,185.949,1.77673,0.131072,41.5498
ORB,FREAK,0006,190.987,14.3362,176.65,1.72071,0.262144,41.0255
ORB,FREAK,0007,13.1559,23.3809,10.2249,0.559706,0.131072,38.142
ORB,FREAK,0008,12.4408,21.8421,9.40129,0.548454,0.131072,37.2244
ORB,FREAK,0009,-inf,13.7378,inf,-nan,0.131072,36.3069
ORB,FREAK,0010,-inf,18.0818,inf,-nan,0.131072,34.7341
ORB,FREAK,0011,-inf,16.5097,inf,-nan,0.131072,36.9623
ORB,FREAK,0012,9.701,12.5438,2.84284,0.255596,0.131072,39.1905
ORB,FREAK,0013,8.34225,9.66153,1.31928,0.146556,0,39.5837
ORB,FREAK,0014,8.12512,10.0954,1.97029,0.216272,0.131072,44.4334
ORB,FREAK,0015,9.94579,9.53099,0.414802,0.0425945,0.131072,41.943
ORB,FREAK,0016,9.24841,8.45407,0.794343,0.0897436,0.131072,40.3702
ORB,FREAK,0017,7.13839,9.55324,2.41485,0.289349,0.131072,39.4527
ORB,FREAK,0018,9.58504,9.30116,0.283875,0.0300616,0,41.0255
ORB,SIFT,0001,-0.315996,12.9722,13.2882,2.09987,0.65536,42.4673
ORB,SIFT,0002,6.23233,12.6181,6.38576,0.677519,0.393216,41.4188
ORB,SIFT,0003,12.4382,13.0901,0.651895,0.0510724,0.393216,35.6516
ORB,SIFT,0004,24.6851,10.5159,14.1692,0.805042,0.262144,39.0595
ORB,SIFT,0005,17.543,11.6834,5.85958,0.400978,0.786432,43.2538
ORB,SIFT,0006,-inf,14.3362,inf,-nan,0.393216,41.6809
ORB,SIFT,0007,-inf,23.3809,inf,-nan,0.393216,40.108
ORB,SIFT,0008,-inf,21.8421,inf,-nan,0.262144,37.0934
ORB,SIFT,0009,20.5263,13.7378,6.78857,0.39625,0.262144,35.7827
ORB,SIFT,0010,21.6843,18.0818,3.6025,0.181185,0.262144,34.2098
ORB,SIFT,0011,10.5914,16.5097,5.91829,0.436756,0.131072,35.3894
ORB,SIFT,0012,-inf,12.5438,inf,-nan,0.262144,39.3216
ORB,SIFT,0013,-inf,9.66153,inf,-nan,0.786432,41.5498
ORB,SIFT,0014,6.60804,10.0954,3.48738,0.417563,0.262144,43.2538
ORB,SIFT,0015,-inf,9.53099,inf,-nan,0.131072,42.9916
ORB,SIFT,0016,-inf,8.45407,inf,-nan,0.393216,42.0741
ORB,SIFT,0017,9.33617,9.55324,0.217069,0.0229831,0.262144,40.8945
ORB,SIFT,0018,14.6926,9.30116,5.39146,0.449405,0.131072,41.2877
AKAZE,AKAZE,0001,11.7072,12.9722,1.26494,0.10251,0.65536,44.8266
AKAZE,AKAZE,0002,12.6612,12.6181,0.0431363,0.00341277,1.04858,41.5498
AKAZE,AKAZE,0003,13.4772,13.0901,0.387095,0.0291408,1.04858,37.3555
AKAZE,AKAZE,0004,13.5647,10.5159,3.04879,0.253215,0.917504,38.273
AKAZE,AKAZE,0005,14.423,11.6834,2.73962,0.209881,0.65536,43.3848
AKAZE,AKAZE,0006,15.2022,14.3362,0.865951,0.0586323,0.917504,41.6809
AKAZE,AKAZE,0007,15.6447,23.3809,7.73615,0.396465,1.04858,39.8459
AKAZE,AKAZE,0008,15.0088,21.8421,6.83326,0.37086,1.04858,38.5352
AKAZE,AKAZE,0009,14.3563,13.7378,0.618504,0.044031,1.04858,36.1759
AKAZE,AKAZE,0010,13.1677,18.0818,4.91401,0.314502,1.70394,34.3409
AKAZE,AKAZE,0011,12.6198,16.5097,3.88995,0.26708,0.786432,34.2098
AKAZE,AKAZE,0012,12.2642,12.5438,0.279614,0.0225422,1.44179,38.142
AKAZE,AKAZE,0013,11.0915,9.66153,1.42995,0.137807,1.83501,41.2877
AKAZE,AKAZE,0014,11.9443,10.0954,1.8489,0.167779,1.04858,44.0402
AKAZE,AKAZE,0015,11.3816,9.53099,1.8506,0.176985,1.31072,41.4188
AKAZE,AKAZE,0016,9.93624,8.45407,1.48217,0.16119,1.31072,42.3363
AKAZE,AKAZE,0017,9.84661,9.55324,0.293377,0.0302453,0.917504,39.977
AKAZE,AKAZE,0018,9.60984,9.30116,0.308673,0.0326448,0.65536,41.812
SIFT,BRISK,0001,13.6288,12.9722,0.656625,0.0493686,0.262144,41.5498
SIFT,BRISK,0002,12.3706,12.6181,0.247518,0.0198104,0.262144,41.5498
SIFT,BRISK,0003,12.2843,13.0901,0.805772,0.0635106,0.393216,36.438
SIFT,BRISK,0004,14.7962,10.5159,4.28028,0.3382,0.262144,38.0109
SIFT,BRISK,0005,15.7031,11.6834,4.01969,0.293553,0.393216,42.2052
SIFT,BRISK,0006,13.3192,14.3362,1.01706,0.0735524,0.524288,43.778
SIFT,BRISK,0007,13.748,23.3809,9.63288,0.518889,0.786432,39.3216
SIFT,BRISK,0008,15.2454,21.8421,6.5967,0.355737,0.524288,38.0109
SIFT,BRISK,0009,13.2262,13.7378,0.511584,0.0379458,0.65536,36.7002
SIFT,BRISK,0010,11.6377,18.0818,6.44407,0.433661,0.524288,34.9962
SIFT,BRISK,0011,11.3944,16.5097,5.11529,0.366633,0.393216,35.2584
SIFT,BRISK,0012,11.5468,12.5438,0.996999,0.0827706,0.262144,38.4041
SIFT,BRISK,0013,10.6161,9.66153,0.954615,0.0941542,0.524288,40.3702
SIFT,BRISK,0014,9.53198,10.0954,0.563436,0.0574132,0.262144,44.1713
SIFT,BRISK,0015,9.28341,9.53099,0.247585,0.0263187,0.262144,41.943
SIFT,BRISK,0016,9.57252,8.45407,1.11845,0.124089,0.262144,42.2052
SIFT,BRISK,0017,8.82468,9.55324,0.728557,0.0792861,0.262144,41.4188
SIFT,BRISK,0018,8.111,9.30116,1.19017,0.136705,0.262144,40.8945
SIFT,BRIEF,0001,10.2255,12.9722,2.74664,0.236803,0.524288,43.3848
SIFT,BRIEF,0002,11.8637,12.6181,0.754375,0.0616273,0.65536,42.3363
SIFT,BRIEF,0003,13.0615,13.0901,0.0285407,0.00218271,0.917504,36.7002
SIFT,BRIEF,0004,15.1965,10.5159,4.68053,0.364068,0.786432,38.142
SIFT,BRIEF,0005,15.4894,11.6834,3.80597,0.280131,0.393216,42.4673
SIFT,BRIEF,0006,12.4755,14.3362,1.86067,0.138795,0.917504,41.943
SIFT,BRIEF,0007,12.6901,23.3809,10.6908,0.592765,1.04858,39.977
SIFT,BRIEF,0008,15.1909,21.8421,6.65117,0.359202,1.04858,38.0109
SIFT,BRIEF,0009,15.0035,13.7378,1.26572,0.0880769,1.04858,37.6177
SIFT,BRIEF,0010,12.6799,18.0818,5.40182,0.351205,0.524288,34.3409
SIFT,BRIEF,0011,11.564,16.5097,4.9457,0.352336,0.524288,35.2584
SIFT,BRIEF,0012,10.7863,12.5438,1.75753,0.150666,1.04858,39.1905
SIFT,BRIEF,0013,9.66252,9.66153,0.000984347,0.000101878,0.917504,40.2391
SIFT,BRIEF,0014,9.71333,10.0954,0.382089,0.0385779,0.262144,43.2538
SIFT,BRIEF,0015,9.54749,9.53099,0.0165041,0.00173013,0.917504,41.2877
SIFT,BRIEF,0016,8.74572,8.45407,0.291647,0.0339129,0.65536,41.2877
SIFT,BRIEF,0017,8.47446,9.55324,1.07878,0.11968,0.131072,40.3702
SIFT,BRIEF,0018,7.65429,9.30116,1.64688,0.194259,0.524288,42.0741
SIFT,FREAK,0001,12.9076,12.9722,0.0645343,0.00498724,0.131072,42.5984
SIFT,FREAK,0002,14.0563,12.6181,1.43817,0.107832,0.262144,41.0255
SIFT,FREAK,0003,13.8268,13.0901,0.736674,0.054737,0.262144,37.3555
SIFT,FREAK,0004,14.2187,10.5159,3.7028,0.299402,0.131072,39.8459
SIFT,FREAK,0005,13.9226,11.6834,2.23917,0.174894,0.131072,42.3363
SIFT,FREAK,0006,11.5036,14.3362,2.83263,0.219246,0.131072,43.647
SIFT,FREAK,0007,12.8056,23.3809,10.5753,0.584489,0.524288,39.3216
SIFT,FREAK,0008,13.7737,21.8421,8.06837,0.453078,0.524288,38.0109
SIFT,FREAK,0009,13.0264,13.7378,0.711375,0.0531588,0.262144,35.7827
SIFT,FREAK,0010,12.1387,18.0818,5.94309,0.393316,0.262144,34.4719
SIFT,FREAK,0011,12.0531,16.5097,4.45663,0.312058,0.131072,34.7341
SIFT,FREAK,0012,11.6311,12.5438,0.912737,0.075511,0.262144,38.4041
SIFT,FREAK,0013,10.6046,9.66153,0.943109,0.0930722,0.131072,41.5498
SIFT,FREAK,0014,11.2197,10.0954,1.12426,0.10549,0.262144,43.3848
SIFT,FREAK,0015,10.8913,9.53099,1.36029,0.133217,0.262144,41.2877
SIFT,FREAK,0016,9.17817,8.45407,0.724095,0.082133,0.262144,42.9916
SIFT,FREAK,0017,7.8329,9.55324,1.72034,0.197897,0.131072,42.2052
SIFT,FREAK,0018,7.87361,9.30116,1.42756,0.166239,0.262144,42.8605
SIFT,SIFT,0001,10.1139,12.9722,2.85822,0.247614,0.262144,42.9916
SIFT,SIFT,0002,11.9002,12.6181,0.717855,0.0585566,0.65536,40.5012
SIFT,SIFT,0003,13.2586,13.0901,0.168481,0.0127886,0.65536,36.438
SIFT,SIFT,0004,13.7558,10.5159,3.23984,0.266965,0.393216,38.142
SIFT,SIFT,0005,13.4853,11.6834,1.80191,0.143186,0.524288,43.1227
SIFT,SIFT,0006,11.7933,14.3362,2.54294,0.194642,0.524288,42.0741
SIFT,SIFT,0007,12.6087,23.3809,10.7722,0.598627,0.65536,39.3216
SIFT,SIFT,0008,14.3821,21.8421,7.45998,0.411878,1.04858,37.3555
SIFT,SIFT,0009,13.4632,13.7378,0.274568,0.0201881,0.65536,38.4041
SIFT,SIFT,0010,11.3559,18.0818,6.72589,0.456959,0.524288,34.0787
SIFT,SIFT,0011,10.512,16.5097,5.99772,0.443918,0.262144,35.7827
SIFT,SIFT,0012,10.3097,12.5438,2.23416,0.19552,0.524288,39.7148
SIFT,SIFT,0013,9.80115,9.66153,0.139614,0.0143469,0.393216,41.943
SIFT,SIFT,0014,9.96914,10.0954,0.126274,0.0125868,0.524288,43.778
SIFT,SIFT,0015,10.1103,9.53099,0.57928,0.058986,0.393216,43.1227
SIFT,SIFT,0016,9.14353,8.45407,0.689458,0.0783582,0.393216,41.943
SIFT,SIFT,0017,8.45426,9.55324,1.09897,0.122057,0.262144,42.3363
SIFT,SIFT,0018,8.33876,9.30116,0.962408,0.109117,0.262144,41.2877
SHITOMASI,BRISK,0001,14.0745,12.9722,1.10237,0.0815164,0.131072,42.5984
SHITOMASI,BRISK,0002,14.9088,12.6181,2.29068,0.166432,0.262144,41.1566
SHITOMASI,BRISK,0003,13.2128,13.0901,0.122705,0.00933015,0.131072,37.4866
SHITOMASI,BRISK,0004,11.7173,10.5159,1.20139,0.108071,0.131072,38.0109
SHITOMASI,BRISK,0005,12.6393,11.6834,0.955897,0.0786012,0.131072,41.812
SHITOMASI,BRISK,0006,12.5639,14.3362,1.77236,0.131774,0.131072,41.812
SHITOMASI,BRISK,0007,12.6312,23.3809,10.7497,0.597007,0.262144,38.6662
SHITOMASI,BRISK,0008,11.1769,21.8421,10.6652,0.646002,0.131072,37.6177
SHITOMASI,BRISK,0009,9.69268,13.7378,4.04507,0.345284,0.262144,35.9137
SHITOMASI,BRISK,0010,10.5748,18.0818,7.50697,0.523927,0.131072,34.3409
SHITOMASI,BRISK,0011,11.8145,16.5097,4.69519,0.331532,0.131072,34.4719
SHITOMASI,BRISK,0012,11.5779,12.5438,0.96595,0.0800897,0.131072,39.5837
SHITOMASI,BRISK,0013,12.5901,9.66153,2.92858,0.263223,0.262144,40.2391
SHITOMASI,BRISK,0014,14.3033,10.0954,4.20787,0.344926,0.131072,44.0402
SHITOMASI,BRISK,0015,12.7543,9.53099,3.22326,0.289273,0.262144,41.812
SHITOMASI,BRISK,0016,9.00782,8.45407,0.553746,0.0634234,0.262144,42.2052
SHITOMASI,BRISK,0017,8.1645,9.55324,1.38874,0.156762,0.131072,40.8945
SHITOMASI,BRISK,0018,10.63,9.30116,1.32882,0.133341,0.131072,41.812
SHITOMASI,BRIEF,0001,12.8498,12.9722,0.122353,0.00947664,0.262144,42.3363
SHITOMASI,BRIEF,0002,12.747,12.6181,0.128897,0.0101633,0.393216,40.6323
SHITOMASI,BRIEF,0003,11.6004,13.0901,1.48967,0.120667,0.393216,37.7487
SHITOMASI,BRIEF,0004,11.409,10.5159,0.893056,0.081465,0.393216,37.3555
SHITOMASI,BRIEF,0005,11.8444,11.6834,0.161035,0.0136889,0.524288,42.4673
SHITOMASI,BRIEF,0006,12.1356,14.3362,2.20064,0.166263,0.262144,41.6809
SHITOMASI,BRIEF,0007,12.7864,23.3809,10.5944,0.585857,0.262144,38.5352
SHITOMASI,BRIEF,0008,11.9523,21.8421,9.88979,0.585292,0.262144,37.4866
SHITOMASI,BRIEF,0009,10.9442,13.7378,2.79354,0.226362,0.262144,34.8652
SHITOMASI,BRIEF,0010,11.0697,18.0818,7.01211,0.481082,0.393216,34.0787
SHITOMASI,BRIEF,0011,11.5362,16.5097,4.97348,0.354666,0.393216,35.7827
SHITOMASI,BRIEF,0012,10.3392,12.5438,2.20462,0.192685,0.262144,39.0595
SHITOMASI,BRIEF,0013,10.7266,9.66153,1.06507,0.104479,0.262144,40.3702
SHITOMASI,BRIEF,0014,11.3914,10.0954,1.29601,0.120633,0.393216,42.9916
SHITOMASI,BRIEF,0015,10.6888,9.53099,1.15778,0.114519,0.393216,42.3363
SHITOMASI,BRIEF,0016,10.6631,8.45407,2.20905,0.231106,0.393216,41.2877
SHITOMASI,BRIEF,0017,10.7711,9.55324,1.21784,0.119841,0.131072,40.7634
